Project	Station	Camera	FileName	DateTime	Species
林務局全島鼬獾監測	東勢處	DS04A	IMG_0026.JPG	2015-09-01 00:39:40	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0025.JPG	2015-09-01 00:39:40	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0028.JPG	2015-09-01 00:39:42	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0027.JPG	2015-09-01 00:39:42	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0030.JPG	2015-09-01 00:39:44	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0029.JPG	2015-09-01 00:39:44	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0050.JPG	2015-09-01 18:17:20	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0051.JPG	2015-09-01 18:17:22	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0054.JPG	2015-09-01 18:17:24	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0053.JPG	2015-09-01 18:17:24	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0052.JPG	2015-09-01 18:17:24	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0055.JPG	2015-09-01 18:17:26	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0064.JPG	2015-09-02 06:36:00	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0063.JPG	2015-09-02 06:36:00	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0062.JPG	2015-09-02 06:36:00	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0065.JPG	2015-09-02 06:36:02	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0067.JPG	2015-09-02 06:36:04	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0066.JPG	2015-09-02 06:36:04	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0068.JPG	2015-09-02 06:36:06	山羌
林務局全島鼬獾監測	東勢處	DS04A	IMG_0070.JPG	2015-09-02 06:36:08	山羌
